at,name,state,sync,byte_lag,replay_s
38211.888681375,follower2,streaming,async,0.0,0.000309
38211.943170625,follower2,streaming,async,176.0,0.000301
38211.993852541,follower2,streaming,async,176.0,0.000133
38212.046513833,follower2,streaming,async,176.0,0.000164
38212.100831541,follower2,streaming,async,176.0,4.8e-05
38212.155221833,follower2,streaming,async,176.0,7e-05
38212.2098065,follower2,streaming,async,176.0,0.000126
38212.264409916,follower2,streaming,async,176.0,0.000296
38212.317342291,follower2,streaming,async,0.0,0.000257
38212.371156083,follower2,streaming,async,176.0,7.6e-05
38212.421934458,follower2,streaming,async,176.0,0.000336
38212.473090791,follower2,streaming,async,176.0,4.8e-05
38212.525691666,follower1,streaming,async,10570152.0,0.043153
38212.525691666,follower2,streaming,async,176.0,0.000166
38212.580244791,follower1,streaming,async,7288936.0,0.104462
38212.580244791,follower2,streaming,async,0.0,0.001965
38212.635551291,follower1,streaming,async,280.0,0.000232
